Date,Temperature
11-09-2021_15.40.36,26.0
11-09-2021_15.40.38,26.0
11-09-2021_15.40.46,26.0
11-09-2021_15.40.48,26.0
11-09-2021_15.40.51,26.0
11-09-2021_15.40.56,26.0
11-09-2021_15.41.04,26.0
11-09-2021_15.41.11,26.0
11-09-2021_15.41.14,26.0
11-09-2021_15.41.16,26.0
11-09-2021_15.41.19,26.0
11-09-2021_15.41.21,26.0
11-09-2021_15.41.24,26.0
11-09-2021_15.41.29,26.0
11-09-2021_15.41.32,26.0
11-09-2021_15.41.34,26.0
11-09-2021_15.41.37,26.0
11-09-2021_15.41.39,26.0
